Area/Sex,Population aged 5 years & above,Can read & write,Can read only,Can't read and write,Not stated,
Nepal
Male,85361,62003,3282,20018,58
Female,101262,54147,3599,43386,130
Dolakha,,,,,
Total,170820,107238,5979,57447,156
Male,79064,57989,2629,18400,46
Female,91756,49249,3350,39047,110
Sindhupalchok,,,,,
Total,264274,157469,7635,98960,210
Male,126532,86010,3674,36771,77
Female,137742,71459,3961,62189,133
Kavrepalanchok,,,,,
Total,353924,247049,9665,96942,268
Male,168411,134037,4547,29750,77
Female,185513,113012,5118,67192,191
Lalitpur,,,,,
Total,438629,361996,7615,68735,283
Male,222592,200577,3224,18693,98
Female,216037,161419,4391,50042,185
Bhaktapur,,,,,
Total,284829,232657,4896,47119,157
Male,144259,130526,2090,11589,54
Female,140570,102131,2806,35530,103
Kathmandu,,,,,
Total,1632640,1408199,25606,198225,610
Male,853486,786704,11471,55116,195
Female,779154,621495,14135,143109,415
Nuwakot,,,,,
Total,255687,152903,9147,93216,421
Male,121619,82642,4595,34214,168
Female,134068,70261,4552,59002,253
Rasuwa,,,,,
Total,39545,21197,1156,17148,44
Male,19565,11906,586,7065,8
Female,19980,9291,570,10083,36
Dhading,,,,,
Total,305985,192337,7745,105681,222
Male,142433,101240,3765,37348,80
Female,163552,91097,3980,68333,142
Makwanpur,,,,,
Total,382268,259375,10049,112688,156
Male,187219,141190,5032,40930,67
Female,195049,118185,5017,71758,89
Rautahat,,,,,
Total,605290,252341,22370,328997,1582
Male,310238,157845,11364,140361,668
Female,295052,94496,11006,188636,914
Bara,,,,,
Total,609220,316551,18345,273830,494
Male,311464,195448,9270,106556,190
Female,297756,121103,9075,167274,304
Parsa,,,,,
Total,533174,298065,15385,219072,652
Male,278048,186101,7899,83775,273
Female,255126,111964,7486,135297,379
Chitawan,,,,,
Total,537183,413526,10579,112785,293
Male,256694,215282,4946,36351,115
Female,280489,198244,5633,76434,178
Gorkha,,,,,
Total,247857,164424,5993,77323,117
Male,109273,82054,2622,4558,39
Female,138584,82370,3371,52765,78
Lamjung,,,,,
Total,153626,109251,3791,40499,85
Male,68736,55491,1557,11666,22
Female,84890,53760,2234,28833,63
Tanahu,,,,,
Total,295611,221194,5647,68519,251
Male,129445,108317,2385,18673,70
Female,166166,112877,3262,49846,181
Syangja,,,,,
Total,265025,203034,4323,57502,166
Male,113340,97531,1827,13937,45
Female,151685,105503,2496,43565,121
Kaski,,,,,
Total,454992,374802,7015,72983,192
Male,216624,195181,3018,18365,60
Female,238368,179621,3997,54618,132
Manang,,,,,
Total,6161,4611,41,1509,0
Male,3481,2890,21,570,0
Female,2680,1721,20,939,0
Mustang,,,,,
Total,12588,8334,305,3945,4
Male,6676,5034,139,1502,1
Female,5912,3300,166,2443,3
Myagdi,,,,,
Total,101793,73160,2370,26207,56
Male,45372,36781,956,7617,18
Female,56421,36379,1414,18590,38
Parbat,,,,,
Total,133055,98257,3032,31665,101
Male,58306,48636,1373,8253,44
Female,74749,49621,1659,23412,57
Baglung,,,,,
Total,241105,173300,6179,61469,157
Male,103827,83675,2624,17485,43
Female,137278,89625,3555,43984,114
Gulmi,,,,,
Total,252052,182901,4736,64335,80
Male,106310,86799,2089,17393,29
Female,145742,96102,2647,46942,51
Palpa,,,,,
Total,237191,180788,5890,50387,126
Male,103503,87853,2428,13185,37
Female,133688,92935,3462,37202,89
Nawalparasi,,,,,
Total,587898,416011,12034,159522,331
Male,274920,219593,5526,49675,126
Female,312978,196418,6508,109847,205
Rupandehi,,,,,
Total,800430,558566,18333,222636,895
Male,390651,309480,8722,72134,315
Female,409779,249086,9611,150502,580
Kapilbastu,,,,,
Total,508498,279219,18445,210299,535
Male,253216,164431,9120,79443,222
Female,255282,114788,9325,130856,313
Arghakhanchi,,,,,
Total,176838,128360,3847,44495,136
Male,75231,61509,1658,12029,35
Female,101607,66851,2189,32466,101
Pyuthan,,,,,
Total,198472,133001,4268,61128,75
Male,85054,66499,1866,16663,26
Female,113418,66502,2402,44465,49
Rolpa,,,,,
Total,195969,117590,6086,72181,112
Male,88582,63379,2712,22449,42
Female,107387,54211,3374,49732,70
Rukum,,,,,
Total,184251,114396,4762,64994,99
Male,86955,61936,2126,22856,37
Female,97296,52460,2636,42138,62
Salyan,,,,,
Total,214815,137576,7408,69520,311
Male,101916,75292,3427,23120,77
Female,112899,62284,3981,46400,234
Dang,,,,,
Total,499109,350968,9919,137869,353
Male,233721,184354,4579,44648,140
Female,265388,166614,5340,93221,213
Banke,,,,,
Total,442485,276070,11419,154471,525
Male,219393,153486,5455,60252,200
Female,223092,122584,5964,94219,325
Bardiya,,,,,
Total,387623,253484,7268,126772,99
Male,185149,136153,3259,45705,32
Female,202474,117331,4009,81067,67
Surkhet,,,,,
Total,311513,227767,8464,75150,132
Male,149173,122382,3662,23084,45
Female,162340,105385,4802,52066,87
Dailekh,,,,,
Total,226466,141479,7446,77438,103
Male,108973,79374,3472,26093,34
Female,117493,62105,3974,51345,69
Jajarkot,,,,,
Total,146035,83639,5843,56478,75
Male,72824,47988,2779,22026,31
Female,73211,35651,3064,34452,44
Dolpa,,,,,
Total,31805,17222,1120,13438,25
Male,15795,10719,506,4559,11
Female,16010,6503,614,8879,14
Jumla,,,,,
Total,93960,51355,3184,39379,42
Male,47370,32326,1517,13508,19
Female,46590,19029,1667,25871,23
Kalikot,,,,,
Total,115305,65523,5138,44544,100
Male,57732,39197,2587,15911,37
Female,57573,26326,2551,28633,63
Mugu,,,,,
Total,46669,23918,2170,20535,46
Male,23671,15426,1074,7154,17
Female,22998,8492,1096,13381,29
Humla,,,,,
Total,43462,20785,1186,21459,32
Male,22169,13759,620,7777,13
Female,21293,7026,566,13682,19
Bajura,,,,,
Total,115977,64579,2847,48514,37
Male,56160,38662,1288,16193,17
Female,59817,25917,1559,32321,20
Bajhang,,,,,
Total,167998,93323,5393,69182,100
Male,78875,57570,2495,18774,36
Female,89123,35753,2898,50408,64
Achham,,,,,
Total,221088,123045,8503,89229,311
Male,101551,71796,3878,25759,118
Female,119537,51249,4625,63470,193
Doti,,,,,
Total,181144,102071,5960,72883,230
Male,81673,59956,2653,18992,72
Female,99471,42115,3307,53891,158
Kailali,,,,,
Total,701431,465176,18820,217198,237
Male,340202,259090,8503,72531,78
Female,361229,206086,10317,144667,159
Kanchanpur,,,,,
Total,407283,287826,8653,110688,116
Male,193331,157270,3947,32074,40
Female,213952,130556,4706,78614,76
Dadeldhura,,,,,
Total,124926,81584,3225,40039,78
Male,57805,46049,1506,10225,25
Female,67121,35535,1719,29814,53
Baitadi,,,,,
Total,218915,137854,5689,75219,153
Male,101046,79836,2541,18616,53
Female,117869,58018,3148,56603,100
Darchula,,,,,
Total,117150,76573,2751,37784,42
Male,55418,43927,1195,10278,18
Female,61732,32646,1556,27506,24
